,solar_result,3시간기온,강수형태,강수확률,습도,풍속,풍향,하늘상태,altitude,azimuth,altitude_m,azimuth_m
2017060522,0.0,18.0,1.0,63.333333333333336,81.66666666666667,4.3,106.66666666666667,4.0,0.0,0.0,-25.905379269347986,328.94157235787293
2017060523,0.0,18.0,1.0,66.66666666666667,83.33333333333333,3.8,112.33333333333333,4.0,0.0,0.0,-30.815716154454883,343.7570567144922
2017060600,0.0,18.0,1.0,70.0,85.0,3.3,118.0,4.0,0.0,0.0,-32.54714084318941,7.725862016503749e-15
2017060601,0.0,18.0,1.0,71.66666666666667,85.83333333333333,3.333333333333333,119.66666666666667,4.0,0.0,0.0,-30.815716154454883,16.24294328550779
2017060602,0.0,18.0,1.0,73.33333333333333,86.66666666666667,3.3666666666666667,121.33333333333333,4.0,0.0,0.0,-25.905379269347986,31.058427642127043
2017060603,0.0,18.0,1.0,75.0,87.5,3.4,123.0,4.0,0.0,0.0,-18.47884846644029,43.7865516488749
2017060604,0.0,18.0,1.0,76.66666666666667,88.33333333333333,3.433333333333333,124.66666666666667,4.0,0.0,0.0,-9.245005080701288,54.52547864902252
2017060605,0.0,18.0,1.0,78.33333333333333,89.16666666666667,3.466666666666667,126.33333333333333,4.0,0.0,0.0,1.2237238608253693,116.26956760060659
2017060606,1.92,18.0,1.0,80.0,90.0,3.5,128.0,4.0,11.0725,22.875,12.514125266014089,108.06050359593044
2017060607,13.44,18.666666666666668,1.0,73.33333333333333,91.66666666666667,3.5,157.66666666666666,4.0,22.145,45.75,24.33079816444587,100.29337257044871
2017060608,24.48,19.333333333333332,1.0,66.66666666666667,93.33333333333333,3.5,187.33333333333334,4.0,33.2175,68.625,36.44259597031463,92.31604469528673
2017060609,39.36,20.0,1.0,60.0,95.0,3.5,217.0,4.0,44.29,91.5,48.617683652171316,96.89730147584196
2017060610,64.8,20.666666666666668,1.0,60.0,90.0,4.0,225.66666666666666,4.0,54.973333333333336,113.38,60.48733590219946,109.60037842039965
2017060611,44.4,21.333333333333332,1.0,60.0,85.0,4.5,234.33333333333334,4.0,65.65666666666667,135.26,71.02121317232519,132.3837927266256
2017060612,67.2,22.0,1.0,60.0,80.0,5.0,243.0,4.0,76.34,157.14,76.2528591568106,180.0
2017060613,51.36,22.0,0.6666666666666667,50.0,78.33333333333333,5.966666666666667,243.66666666666666,4.0,68.68,191.57,71.02121317232519,227.6162072733744
2017060614,32.64,22.0,0.33333333333333337,40.0,76.66666666666667,6.933333333333334,244.33333333333334,4.0,61.02,226.0,60.48733590219946,250.39962157960036
2017060615,27.84,22.0,0.0,30.0,75.0,7.9,245.0,4.0,53.36,260.43,48.617683652171316,263.10269852415803
2017060616,16.08,22.0,0.0,26.666666666666668,75.0,7.5,244.66666666666666,3.6666666666666665,41.28333333333333,268.9533333333333,36.44259597031463,267.68395530471327
2017060617,6.72,22.0,0.0,23.333333333333332,75.0,7.1000000000000005,244.33333333333334,3.3333333333333335,29.206666666666663,277.4766666666667,24.33079816444587,259.7066274295513
2017060618,0.96,22.0,0.0,20.0,75.0,6.7,244.0,3.0,17.13,286.0,12.514125266014089,288.0605035959304
2017060619,0.0,21.333333333333332,0.0,20.0,71.66666666666667,6.133333333333334,259.0,3.0,11.419999999999998,190.66666666666669,1.2237238608253693,296.2695676006066
2017060620,0.0,20.666666666666668,0.0,20.0,68.33333333333333,5.566666666666666,274.0,3.0,5.709999999999999,95.33333333333334,-9.245005080701288,305.4745213509775
2017060621,0.0,20.0,0.0,20.0,65.0,5.0,289.0,3.0,0.0,0.0,-18.47884846644029,316.2134483511251
2017060622,0.0,19.333333333333332,0.0,20.0,66.66666666666667,5.0,284.3333333333333,3.0,0.0,0.0,-25.905379269347986,328.94157235787293
2017060623,0.0,18.666666666666668,0.0,20.0,68.33333333333333,5.0,279.6666666666667,3.0,0.0,0.0,-30.815716154454883,343.7570567144922
2017060700,0.0,18.0,0.0,20.0,70.0,5.0,275.0,3.0,0.0,0.0,-32.54714084318941,7.725862016503749e-15
2017060701,0.0,18.0,0.0,18.333333333333332,72.5,4.7,274.5,2.8333333333333335,0.0,0.0,-30.815716154454883,16.24294328550779
2017060702,0.0,18.0,0.0,16.666666666666668,75.0,4.4,274.0,2.6666666666666665,0.0,0.0,-25.905379269347986,31.058427642127043
2017060703,0.0,18.0,0.0,15.0,77.5,4.1,273.5,2.5,0.0,0.0,-18.47884846644029,43.7865516488749
2017060704,0.0,18.0,0.0,13.333333333333332,80.0,3.8,273.0,2.3333333333333335,0.0,0.0,-9.245005080701288,54.52547864902252
2017060705,0.0,18.0,0.0,11.666666666666666,82.5,3.5,272.5,2.166666666666667,0.0,0.0,1.2237238608253693,116.26956760060659
2017060706,0.0,18.0,0.0,10.0,85.0,3.2,272.0,2.0,11.075,22.8525,12.514125266014089,108.06050359593044
2017060707,0.0,19.0,0.0,10.0,80.0,3.9,278.6666666666667,2.0,22.15,45.705,24.33079816444587,100.29337257044871
2017060708,0.48,20.0,0.0,10.0,75.0,4.6,285.3333333333333,2.0,33.224999999999994,68.5575,36.44259597031463,92.31604469528673
2017060709,0.72,21.0,0.0,10.0,70.0,5.3,292.0,2.0,44.3,91.41,48.617683652171316,96.89730147584196
2017060710,16.32,22.0,0.0,10.0,68.33333333333333,5.0,295.6666666666667,2.0,54.99333333333333,113.12333333333333,60.48733590219946,109.60037842039965
2017060711,33.12,23.0,0.0,10.0,66.66666666666667,4.7,299.3333333333333,2.0,65.68666666666667,134.83666666666667,71.02121317232519,132.3837927266256
2017060712,95.28,24.0,0.0,10.0,65.0,4.4,303.0,2.0,76.38,156.55,76.2528591568106,180.0
2017060713,85.68,24.333333333333332,0.0,6.666666666666666,60.0,4.8,302.3333333333333,1.6666666666666667,68.72333333333333,191.1966666666667,71.02121317232519,227.6162072733744
2017060714,65.52,24.666666666666668,0.0,3.333333333333333,55.0,5.2,301.6666666666667,1.3333333333333335,61.06666666666666,225.84333333333336,60.48733590219946,250.39962157960036
2017060715,58.8,25.0,0.0,0.0,50.0,5.6,301.0,1.0,53.41,260.49,48.617683652171316,263.10269852415803
2017060716,41.52,24.333333333333332,0.0,0.0,53.333333333333336,5.233333333333333,303.0,1.0,41.33333333333333,269.00666666666666,36.44259597031463,267.68395530471327
2017060717,33.84,23.666666666666668,0.0,0.0,56.666666666666664,4.866666666666666,305.0,1.0,29.256666666666664,277.52333333333337,24.33079816444587,259.7066274295513
2017060718,12.48,23.0,0.0,0.0,60.0,4.5,307.0,1.0,17.18,286.04,12.514125266014089,288.0605035959304
2017060719,1.44,22.333333333333332,0.0,3.3333333333333335,61.666666666666664,4.033333333333333,300.0,1.3333333333333333,11.453333333333333,190.69333333333333,1.2237238608253693,296.2695676006066
2017060720,0.0,21.666666666666668,0.0,6.666666666666667,63.333333333333336,3.566666666666667,293.0,1.6666666666666665,5.726666666666667,95.34666666666666,-9.245005080701288,305.4745213509775
