 format: day,hour,forecast,value  location:97_74 Start : 20180201 
 3,0200,+31,283.000000 
 3,0200,+34,281.000000 
 3,0200,+37,282.000000 
 3,0200,+40,284.000000 
 3,0200,+43,280.000000 
 3,0200,+46,272.000000 
 3,0200,+49,280.000000 
 3,0200,+52,284.000000 
 3,0200,+55,281.000000 
 3,0200,+58,283.000000 
 3,0200,+61,285.000000 
 3,0500,+4,294.000000 
 3,0500,+7,287.000000 
 3,0500,+10,285.000000 
 3,0500,+13,286.000000 
 3,0500,+16,285.000000 
 3,0500,+19,284.000000 
 3,0500,+22,286.000000 
 3,0500,+25,289.000000 
 3,0500,+28,283.000000 
 3,0500,+31,281.000000 
 3,0500,+34,282.000000 
 3,0500,+37,284.000000 
 3,0500,+40,280.000000 
 3,0500,+43,272.000000 
 3,0500,+46,280.000000 
 3,0500,+49,284.000000 
 3,0500,+52,281.000000 
 3,0500,+55,283.000000 
 3,0500,+58,285.000000 
 3,0800,+4,287.000000 
 3,0800,+7,285.000000 
 3,0800,+10,286.000000 
 3,0800,+13,285.000000 
 3,0800,+16,284.000000 
 3,0800,+19,286.000000 
 3,0800,+22,289.000000 
 3,0800,+25,283.000000 
 3,0800,+28,281.000000 
 3,0800,+31,282.000000 
 3,0800,+34,284.000000 
 3,0800,+37,280.000000 
 3,0800,+40,272.000000 
 3,0800,+43,280.000000 
 3,0800,+46,284.000000 
 3,0800,+49,281.000000 
 3,0800,+52,283.000000 
 3,0800,+55,285.000000 
 3,1100,+4,285.000000 
 3,1100,+7,286.000000 
 3,1100,+10,285.000000 
 3,1100,+13,284.000000 
 3,1100,+16,286.000000 
 3,1100,+19,289.000000 
 3,1100,+22,283.000000 
 3,1100,+25,281.000000 
 3,1100,+28,282.000000 
 3,1100,+31,284.000000 
 3,1100,+34,280.000000 
 3,1100,+37,272.000000 
 3,1100,+40,280.000000 
 3,1100,+43,284.000000 
 3,1100,+46,281.000000 
 3,1100,+49,283.000000 
 3,1100,+52,285.000000 
 3,1400,+4,286.000000 
 3,1400,+7,285.000000 
 3,1400,+10,284.000000 
 3,1400,+13,286.000000 
 3,1400,+16,289.000000 
 3,1400,+19,283.000000 
 3,1400,+22,281.000000 
 3,1400,+25,282.000000 
 3,1400,+28,284.000000 
 3,1400,+31,280.000000 
 3,1400,+34,272.000000 
 3,1400,+37,280.000000 
 3,1400,+40,284.000000 
 3,1400,+43,281.000000 
 3,1400,+46,283.000000 
 3,1400,+49,285.000000 
 3,1700,+4,285.000000 
 3,1700,+7,284.000000 
 3,1700,+10,286.000000 
 3,1700,+13,289.000000 
 3,1700,+16,283.000000 
 3,1700,+19,281.000000 
 3,1700,+22,282.000000 
 3,1700,+25,284.000000 
 3,1700,+28,280.000000 
 3,1700,+31,272.000000 
 3,1700,+34,280.000000 
 3,1700,+37,284.000000 
 3,1700,+40,281.000000 
 3,1700,+43,283.000000 
 3,1700,+46,285.000000 
 3,2000,+4,288.000000 
 3,2000,+7,296.000000 
 3,2000,+10,301.000000 
 3,2000,+13,299.000000 
 3,2000,+16,288.000000 
 3,2000,+19,290.000000 
 3,2000,+22,292.000000 
 3,2000,+25,290.000000 
 3,2000,+28,278.000000 
 3,2000,+31,285.000000 
 3,2000,+34,287.000000 
 3,2000,+37,287.000000 
 3,2000,+40,277.000000 
 3,2000,+43,288.000000 
 3,2000,+46,288.000000 
 3,2000,+49,283.000000 
 3,2000,+52,277.000000 
 3,2000,+55,284.000000 
 3,2000,+58,284.000000 
 3,2000,+61,283.000000 
 3,2000,+64,287.000000 
 3,2000,+67,286.000000 
 3,2300,+4,296.000000 
 3,2300,+7,301.000000 
 3,2300,+10,299.000000 
 3,2300,+13,288.000000 
 3,2300,+16,290.000000 
 3,2300,+19,292.000000 
 3,2300,+22,290.000000 
 3,2300,+25,278.000000 
 3,2300,+28,285.000000 
 3,2300,+31,287.000000 
 3,2300,+34,287.000000 
 3,2300,+37,277.000000 
 3,2300,+40,288.000000 
 3,2300,+43,288.000000 
 3,2300,+46,283.000000 
 3,2300,+49,277.000000 
 3,2300,+52,284.000000 
 3,2300,+55,284.000000 
 3,2300,+58,283.000000 
 3,2300,+61,287.000000 
 3,2300,+64,286.000000 
 4,0200,+4,301.000000 
 4,0200,+7,299.000000 
 4,0200,+10,288.000000 
 4,0200,+13,290.000000 
 4,0200,+16,292.000000 
 4,0200,+19,290.000000 
 4,0200,+22,278.000000 
 4,0200,+25,285.000000 
 4,0200,+28,287.000000 
 4,0200,+31,287.000000 
 4,0200,+34,277.000000 
 4,0200,+37,288.000000 
 4,0200,+40,288.000000 
 4,0200,+43,283.000000 
 4,0200,+46,277.000000 
 4,0200,+49,284.000000 
 4,0200,+52,284.000000 
 4,0200,+55,283.000000 
 4,0200,+58,287.000000 
 4,0200,+61,286.000000 
 4,0500,+4,299.000000 
 4,0500,+7,288.000000 
 4,0500,+10,290.000000 
 4,0500,+13,292.000000 
 4,0500,+16,290.000000 
 4,0500,+19,278.000000 
 4,0500,+22,285.000000 
 4,0500,+25,287.000000 
 4,0500,+28,287.000000 
 4,0500,+31,277.000000 
 4,0500,+34,288.000000 
 4,0500,+37,288.000000 
 4,0500,+40,283.000000 
 4,0500,+43,277.000000 
 4,0500,+46,284.000000 
 4,0500,+49,284.000000 
 4,0500,+52,283.000000 
 4,0500,+55,287.000000 
 4,0500,+58,286.000000 
 4,0800,+4,293.000000 
 4,0800,+7,291.000000 
 4,0800,+10,289.000000 
 4,0800,+13,293.000000 
 4,0800,+16,280.000000 
 4,0800,+19,285.000000 
 4,0800,+22,288.000000 
 4,0800,+25,286.000000 
 4,0800,+28,284.000000 
 4,0800,+31,283.000000 
 4,0800,+34,284.000000 
 4,0800,+37,288.000000 
 4,0800,+40,281.000000 
 4,0800,+43,284.000000 
 4,0800,+46,285.000000 
 4,0800,+49,286.000000 
 4,0800,+52,289.000000 
 4,0800,+55,287.000000 
 4,1100,+4,291.000000 
 4,1100,+7,289.000000 
 4,1100,+10,293.000000 
 4,1100,+13,280.000000 
 4,1100,+16,285.000000 
 4,1100,+19,288.000000 
 4,1100,+22,286.000000 
 4,1100,+25,284.000000 
 4,1100,+28,283.000000 
 4,1100,+31,284.000000 
 4,1100,+34,288.000000 
 4,1100,+37,281.000000 
 4,1100,+40,284.000000 
 4,1100,+43,285.000000 
 4,1100,+46,286.000000 
 4,1100,+49,289.000000 
 4,1100,+52,287.000000 
 4,1400,+4,289.000000 
 4,1400,+7,293.000000 
 4,1400,+10,280.000000 
 4,1400,+13,285.000000 
 4,1400,+16,288.000000 
 4,1400,+19,286.000000 
 4,1400,+22,284.000000 
 4,1400,+25,283.000000 
 4,1400,+28,284.000000 
 4,1400,+31,288.000000 
 4,1400,+34,281.000000 
 4,1400,+37,284.000000 
 4,1400,+40,285.000000 
 4,1400,+43,286.000000 
 4,1400,+46,289.000000 
 4,1400,+49,287.000000 
 4,1700,+4,293.000000 
