 format: day,hour,forecast,value  location:97_74 Start : 20190101 
 3,1700,+25,299.000000 
 3,1700,+28,328.000000 
 3,1700,+31,338.000000 
 3,1700,+34,304.000000 
 3,1700,+37,322.000000 
 3,1700,+40,314.000000 
 3,1700,+43,307.000000 
 3,1700,+46,324.000000 
 3,2000,+4,300.000000 
 3,2000,+7,284.000000 
 3,2000,+10,278.000000 
 3,2000,+13,296.000000 
 3,2000,+16,313.000000 
 3,2000,+19,290.000000 
 3,2000,+22,311.000000 
 3,2000,+25,308.000000 
 3,2000,+28,333.000000 
 3,2000,+31,309.000000 
 3,2000,+34,316.000000 
 3,2000,+37,317.000000 
 3,2000,+40,335.000000 
 3,2000,+43,328.000000 
 3,2000,+46,331.000000 
 3,2000,+49,338.000000 
 3,2000,+52,330.000000 
 3,2000,+55,324.000000 
 3,2000,+58,306.000000 
 3,2000,+61,315.000000 
 3,2000,+64,330.000000 
 3,2000,+67,307.000000 
 3,2300,+4,284.000000 
 3,2300,+7,278.000000 
 3,2300,+10,296.000000 
 3,2300,+13,313.000000 
 3,2300,+16,290.000000 
 3,2300,+19,311.000000 
 3,2300,+22,308.000000 
 3,2300,+25,333.000000 
 3,2300,+28,309.000000 
 3,2300,+31,316.000000 
 3,2300,+34,317.000000 
 3,2300,+37,335.000000 
 3,2300,+40,328.000000 
 3,2300,+43,331.000000 
 3,2300,+46,338.000000 
 3,2300,+49,330.000000 
 3,2300,+52,324.000000 
 3,2300,+55,306.000000 
 3,2300,+58,315.000000 
 3,2300,+61,330.000000 
 3,2300,+64,307.000000 
 4,0200,+4,278.000000 
 4,0200,+7,296.000000 
 4,0200,+10,313.000000 
 4,0200,+13,290.000000 
 4,0200,+16,311.000000 
 4,0200,+19,308.000000 
 4,0200,+22,333.000000 
 4,0200,+25,309.000000 
 4,0200,+28,316.000000 
 4,0200,+31,317.000000 
 4,0200,+34,335.000000 
 4,0200,+37,328.000000 
 4,0200,+40,331.000000 
 4,0200,+43,338.000000 
 4,0200,+46,330.000000 
 4,0200,+49,324.000000 
 4,0200,+52,306.000000 
 4,0200,+55,315.000000 
 4,0200,+58,330.000000 
 4,0200,+61,307.000000 
 4,0500,+4,296.000000 
 4,0500,+7,313.000000 
 4,0500,+10,290.000000 
 4,0500,+13,311.000000 
 4,0500,+16,308.000000 
 4,0500,+19,333.000000 
 4,0500,+22,309.000000 
 4,0500,+25,316.000000 
 4,0500,+28,317.000000 
 4,0500,+31,335.000000 
 4,0500,+34,328.000000 
 4,0500,+37,331.000000 
 4,0500,+40,338.000000 
 4,0500,+43,330.000000 
 4,0500,+46,324.000000 
 4,0500,+49,306.000000 
 4,0500,+52,315.000000 
 4,0500,+55,330.000000 
 4,0500,+58,307.000000 
 4,0800,+4,308.000000 
 4,0800,+7,293.000000 
 4,0800,+10,312.000000 
 4,0800,+13,310.000000 
 4,0800,+16,319.000000 
 4,0800,+19,311.000000 
 4,0800,+22,319.000000 
 4,0800,+25,313.000000 
 4,0800,+28,329.000000 
 4,0800,+31,337.000000 
 4,0800,+34,326.000000 
 4,0800,+37,332.000000 
 4,0800,+40,326.000000 
 4,0800,+43,323.000000 
 4,0800,+46,308.000000 
 4,0800,+49,319.000000 
 4,0800,+52,328.000000 
 4,0800,+55,310.000000 
 4,1100,+4,293.000000 
 4,1100,+7,312.000000 
 4,1100,+10,310.000000 
 4,1100,+13,319.000000 
 4,1100,+16,311.000000 
 4,1100,+19,319.000000 
 4,1100,+22,313.000000 
 4,1100,+25,329.000000 
 4,1100,+28,337.000000 
 4,1100,+31,326.000000 
 4,1100,+34,332.000000 
 4,1100,+37,326.000000 
 4,1100,+40,323.000000 
 4,1100,+43,308.000000 
 4,1100,+46,319.000000 
 4,1100,+49,328.000000 
 4,1100,+52,310.000000 
 4,1400,+4,312.000000 
 4,1400,+7,310.000000 
 4,1400,+10,319.000000 
 4,1400,+13,311.000000 
 4,1400,+16,319.000000 
 4,1400,+19,313.000000 
 4,1400,+22,329.000000 
 4,1400,+25,337.000000 
 4,1400,+28,326.000000 
 4,1400,+31,332.000000 
 4,1400,+34,326.000000 
 4,1400,+37,323.000000 
 4,1400,+40,308.000000 
 4,1400,+43,319.000000 
 4,1400,+46,328.000000 
 4,1400,+49,310.000000 
 4,1700,+4,310.000000 
 4,1700,+7,319.000000 
 4,1700,+10,311.000000 
 4,1700,+13,319.000000 
 4,1700,+16,313.000000 
 4,1700,+19,329.000000 
 4,1700,+22,337.000000 
 4,1700,+25,326.000000 
 4,1700,+28,332.000000 
 4,1700,+31,326.000000 
 4,1700,+34,323.000000 
 4,1700,+37,308.000000 
 4,1700,+40,319.000000 
 4,1700,+43,328.000000 
 4,1700,+46,310.000000 
 4,2000,+4,317.000000 
 4,2000,+7,311.000000 
 4,2000,+10,321.000000 
 4,2000,+13,316.000000 
 4,2000,+16,339.000000 
 4,2000,+19,333.000000 
 4,2000,+22,321.000000 
 4,2000,+25,342.000000 
 4,2000,+28,330.000000 
 4,2000,+31,322.000000 
 4,2000,+34,304.000000 
 4,2000,+37,330.000000 
 4,2000,+40,327.000000 
 4,2000,+43,301.000000 
 4,2000,+46,326.000000 
 4,2000,+49,317.000000 
 4,2000,+52,311.000000 
 4,2000,+55,316.000000 
 4,2000,+58,317.000000 
 4,2000,+61,331.000000 
 4,2000,+64,321.000000 
 4,2000,+67,315.000000 
 4,2300,+4,311.000000 
 4,2300,+7,321.000000 
 4,2300,+10,316.000000 
 4,2300,+13,339.000000 
 4,2300,+16,333.000000 
 4,2300,+19,321.000000 
 4,2300,+22,342.000000 
 4,2300,+25,330.000000 
 4,2300,+28,322.000000 
 4,2300,+31,304.000000 
 4,2300,+34,330.000000 
 4,2300,+37,327.000000 
 4,2300,+40,301.000000 
 4,2300,+43,326.000000 
 4,2300,+46,317.000000 
 4,2300,+49,311.000000 
 4,2300,+52,316.000000 
 4,2300,+55,317.000000 
 4,2300,+58,331.000000 
 4,2300,+61,321.000000 
 4,2300,+64,315.000000 
 5,0200,+4,321.000000 
 5,0200,+7,316.000000 
 5,0200,+10,339.000000 
 5,0200,+13,333.000000 
 5,0200,+16,321.000000 
 5,0200,+19,342.000000 
 5,0200,+22,330.000000 
 5,0200,+25,322.000000 
 5,0200,+28,304.000000 
 5,0200,+31,330.000000 
 5,0200,+34,327.000000 
 5,0200,+37,301.000000 
 5,0200,+40,326.000000 
 5,0200,+43,317.000000 
 5,0200,+46,311.000000 
 5,0200,+49,316.000000 
 5,0200,+52,317.000000 
 5,0200,+55,331.000000 
 5,0200,+58,321.000000 
 5,0200,+61,315.000000 
 5,0500,+4,316.000000 
 5,0500,+7,339.000000 
 5,0500,+10,333.000000 
 5,0500,+13,321.000000 
 5,0500,+16,342.000000 
 5,0500,+19,330.000000 
 5,0500,+22,322.000000 
 5,0500,+25,304.000000 
 5,0500,+28,330.000000 
 5,0500,+31,327.000000 
 5,0500,+34,301.000000 
 5,0500,+37,326.000000 
 5,0500,+40,317.000000 
 5,0500,+43,311.000000 
 5,0500,+46,316.000000 
 5,0500,+49,317.000000 
 5,0500,+52,331.000000 
 5,0500,+55,321.000000 
 5,0500,+58,315.000000 
 5,0800,+4,336.000000 
 5,0800,+7,346.000000 
 5,0800,+10,331.000000 
 5,0800,+13,332.000000 
 5,0800,+16,326.000000 
 5,0800,+19,320.000000 
 5,0800,+22,309.000000 
 5,0800,+25,313.000000 
 5,0800,+28,327.000000 
 5,0800,+31,317.000000 
 5,0800,+34,317.000000 
 5,0800,+37,303.000000 
 5,0800,+40,311.000000 
 5,0800,+43,324.000000 
 5,0800,+46,313.000000 
 5,0800,+49,321.000000 
 5,0800,+52,330.000000 
 5,0800,+55,320.000000 
 5,1100,+4,346.000000 
 5,1100,+7,331.000000 
 5,1100,+10,332.000000 
 5,1100,+13,326.000000 
 5,1100,+16,320.000000 
 5,1100,+19,309.000000 
 5,1100,+22,313.000000 
 5,1100,+25,327.000000 
 5,1100,+28,317.000000 
 5,1100,+31,317.000000 
 5,1100,+34,303.000000 
 5,1100,+37,311.000000 
 5,1100,+40,324.000000 
 5,1100,+43,313.000000 
 5,1100,+46,321.000000 
 5,1100,+49,330.000000 
 5,1100,+52,320.000000 
 5,1400,+4,331.000000 
 5,1400,+7,332.000000 
 5,1400,+10,326.000000 
 5,1400,+13,320.000000 
 5,1400,+16,309.000000 
 5,1400,+19,313.000000 
 5,1400,+22,327.000000 
 5,1400,+25,317.000000 
 5,1400,+28,317.000000 
 5,1400,+31,303.000000 
 5,1400,+34,311.000000 
 5,1400,+37,324.000000 
 5,1400,+40,313.000000 
 5,1400,+43,321.000000 
 5,1400,+46,330.000000 
 5,1400,+49,320.000000 
 5,1700,+4,332.000000 
 5,1700,+7,326.000000 
 5,1700,+10,320.000000 
 5,1700,+13,309.000000 
 5,1700,+16,313.000000 
 5,1700,+19,327.000000 
 5,1700,+22,317.000000 
 5,1700,+25,317.000000 
 5,1700,+28,303.000000 
 5,1700,+31,311.000000 
 5,1700,+34,324.000000 
 5,1700,+37,313.000000 
 5,1700,+40,321.000000 
 5,1700,+43,330.000000 
 5,1700,+46,320.000000 
 5,2000,+4,317.000000 
 5,2000,+7,321.000000 
 5,2000,+10,309.000000 
 5,2000,+13,314.000000 
 5,2000,+16,331.000000 
 5,2000,+19,319.000000 
 5,2000,+22,318.000000 
 5,2000,+25,308.000000 
 5,2000,+28,300.000000 
 5,2000,+31,312.000000 
 5,2000,+34,315.000000 
 5,2000,+37,322.000000 
 5,2000,+40,325.000000 
 5,2000,+43,324.000000 
 5,2000,+46,318.000000 
 5,2000,+49,312.000000 
 5,2000,+52,290.000000 
 5,2000,+55,299.000000 
 5,2000,+58,308.000000 
 5,2000,+61,309.000000 
 5,2000,+64,304.000000 
 5,2000,+67,303.000000 
 5,2300,+4,321.000000 
 5,2300,+7,309.000000 
 5,2300,+10,314.000000 
 5,2300,+13,331.000000 
 5,2300,+16,319.000000 
 5,2300,+19,318.000000 
 5,2300,+22,308.000000 
 5,2300,+25,300.000000 
 5,2300,+28,312.000000 
 5,2300,+31,315.000000 
 5,2300,+34,322.000000 
 5,2300,+37,325.000000 
 5,2300,+40,324.000000 
 5,2300,+43,318.000000 
 5,2300,+46,312.000000 
 5,2300,+49,290.000000 
 5,2300,+52,299.000000 
 5,2300,+55,308.000000 
 5,2300,+58,309.000000 
 5,2300,+61,304.000000 
 5,2300,+64,303.000000 
 6,0200,+4,309.000000 
 6,0200,+7,314.000000 
 6,0200,+10,331.000000 
 6,0200,+13,319.000000 
 6,0200,+16,318.000000 
 6,0200,+19,308.000000 
 6,0200,+22,300.000000 
 6,0200,+25,312.000000 
 6,0200,+28,315.000000 
 6,0200,+31,322.000000 
 6,0200,+34,325.000000 
 6,0200,+37,324.000000 
 6,0200,+40,318.000000 
 6,0200,+43,312.000000 
 6,0200,+46,290.000000 
 6,0200,+49,299.000000 
 6,0200,+52,308.000000 
 6,0200,+55,309.000000 
 6,0200,+58,304.000000 
 6,0200,+61,303.000000 
 6,0500,+4,314.000000 
 6,0500,+7,331.000000 
 6,0500,+10,319.000000 
 6,0500,+13,318.000000 
 6,0500,+16,308.000000 
 6,0500,+19,300.000000 
 6,0500,+22,312.000000 
 6,0500,+25,315.000000 
 6,0500,+28,322.000000 
 6,0500,+31,325.000000 
 6,0500,+34,324.000000 
 6,0500,+37,318.000000 
 6,0500,+40,312.000000 
 6,0500,+43,290.000000 
 6,0500,+46,299.000000 
 6,0500,+49,308.000000 
 6,0500,+52,309.000000 
 6,0500,+55,304.000000 
 6,0500,+58,303.000000 
